,model,scenario,member,tas_2050,od550aer_2050,tas_2100,od550aer_2100,co2_2050,co2_2100,so2_2050,so2_2100,ch4_2050,ch4_2100
0,CanESM5,ssp126,r10i1p1f1,0.7629886922152878,-0.0389903513909204,0.8611966124373112,-0.04599517639496935,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
1,CanESM5,ssp126,r10i1p2f1,0.9905967661744057,-0.036800430027405504,0.9117348980050224,-0.04493898512125846,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
2,CanESM5,ssp126,r11i1p1f1,1.1287288181712256,-0.03727528889168638,1.0304004789646797,-0.03617887180122424,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
3,CanESM5,ssp126,r11i1p2f1,0.9868360462670012,-0.023697635342571632,0.9595805545066582,-0.03309955809995675,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
4,CanESM5,ssp126,r12i1p1f1,0.9761709974894757,-0.031989077559950854,0.7503906169039851,-0.0339312753760638,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
5,CanESM5,ssp126,r12i1p2f1,0.9351906043959843,-0.0272257359076144,0.8608945735256839,-0.028561553724184785,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
6,CanESM5,ssp126,r13i1p1f1,0.826184096941688,-0.023811453715899572,1.0073394921200816,-0.04391937809091222,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
7,CanESM5,ssp126,r13i1p2f1,1.1276023153458823,-0.03867449640696902,0.8692517552350978,-0.05473399508417846,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
8,CanESM5,ssp126,r14i1p1f1,0.9306989085537225,-0.005150149578424135,0.8079300498593511,-0.022502850756306647,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
9,CanESM5,ssp126,r14i1p2f1,1.0351695483446974,-0.034844137011476775,1.0402908296260875,-0.0302991886772163,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
10,CanESM5,ssp126,r15i1p1f1,0.7776940349652932,-0.019312279908150196,0.9074606873879816,-0.02791494224527301,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
11,CanESM5,ssp126,r15i1p2f1,0.961109563314551,-0.020829697233797656,1.0528973088357247,-0.04308604868326414,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
12,CanESM5,ssp126,r16i1p1f1,1.0292050788036704,-0.03428616405353245,1.079381203918956,-0.052553082027960274,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
13,CanESM5,ssp126,r16i1p2f1,0.7986823288911182,-0.023684260248145586,1.1708067632162624,-0.04720938956482355,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
14,CanESM5,ssp126,r17i1p1f1,0.9653021142381704,-0.030111839593519277,0.9461940130274229,-0.048138027983288006,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
15,CanESM5,ssp126,r17i1p2f1,0.869604293823727,-0.02767313816200885,0.9693198747742713,-0.044966508487378334,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
16,CanESM5,ssp126,r18i1p1f1,0.9505720616787698,-0.030465257689008082,0.9507487069800504,-0.04445685343467398,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
17,CanESM5,ssp126,r18i1p2f1,1.1707760854463913,-0.03543545626296647,1.1861737988666619,-0.0433995972875658,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
18,CanESM5,ssp126,r19i1p1f1,0.7901642579947747,-0.03564565564007435,0.9128923321685534,-0.04372591963863985,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
19,CanESM5,ssp126,r19i1p2f1,1.0037822271788173,-0.0406754348437188,0.9249668590275633,-0.04026095145791285,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
20,CanESM5,ssp126,r1i1p1f1,0.981851365115233,-0.03778527994704044,1.3268479724796407,-0.046289216027652846,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
21,CanESM5,ssp126,r1i1p2f1,0.9003460096138269,-0.04012868010803196,0.9213129647924916,-0.046305337193225285,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
22,CanESM5,ssp126,r20i1p1f1,1.1244270003667225,-0.04059507886647419,1.1145029311738313,-0.04539723262938071,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
23,CanESM5,ssp126,r20i1p2f1,1.255476559030285,-0.029186685293301082,0.9487054201707679,-0.05028681111456243,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
24,CanESM5,ssp126,r21i1p1f1,0.9984346961597907,-0.027739828451275775,0.8494475935917194,-0.04535825042011474,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
25,CanESM5,ssp126,r21i1p2f1,1.0118073141606487,-0.03358149253011279,0.9903777350366454,-0.0373252676262312,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
26,CanESM5,ssp126,r22i1p1f1,0.9390278200736475,-0.026967133995851558,0.9913532120167474,-0.03866281249202508,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
27,CanESM5,ssp126,r22i1p2f1,1.1349486625546774,-0.040402649949309574,0.99853557588375,-0.0543900801106538,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
28,CanESM5,ssp126,r23i1p1f1,0.8901925175570113,-0.039889620006877666,1.1436466015311453,-0.05010570982437669,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
29,CanESM5,ssp126,r23i1p2f1,1.202536813332813,-0.0425144915593446,1.1664075450715359,-0.05371412253464919,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
30,CanESM5,ssp126,r24i1p1f1,1.0324893973328244,-0.012223560166324421,1.0677322872562058,-0.03920749952989358,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
31,CanESM5,ssp126,r24i1p2f1,0.9141742409018434,-0.00955692315418405,0.9383318587300096,-0.03839243087995621,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
32,CanESM5,ssp126,r25i1p1f1,0.9756029327126043,-0.020650407521769013,0.6743165986663939,-0.010742278140979833,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
33,CanESM5,ssp126,r25i1p2f1,0.9120384217338255,0.0027470202633334273,0.789338591636124,-0.03472230739114039,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
34,CanESM5,ssp126,r2i1p1f1,1.0099241517317523,-0.033297014801849864,0.8472984610372123,-0.031993238977045785,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
35,CanESM5,ssp126,r2i1p2f1,1.1325904551913482,-0.04547897747241189,1.0438531984052588,-0.05952880960805493,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
36,CanESM5,ssp126,r3i1p1f1,1.1831712173260485,-0.02646571581250902,0.9829871098461354,-0.04137765374850237,1795.7108668143396,1848.8642008547292,-0.06402010118442836,-0.08206571253834465,-0.15399861457246966,-0.24139004474629425
